Lugar,Nome,CLUBE,JAN,FEV,MAR,ABR,MAI,JUN,TOTAL
1º,Thiago de Castro Gonçalves Pereira,GOIÁS/GO, 696  , 702  , *685  , 704  , 699  , *687  ,2801
2º,Roberval Fernando dos Santos,CMSP/SP, 698  , *688  , 699  , *687  702  , *682  701  , *667  ,2800
3º,Maximiliano Cabral Favoreto,GOIÁS/GO, 684  *662  , *680  , *669  , 683  685  , 694  , *675  ,2746
4º,Luccas Artamonoff F. de Abreu,CSP/SP, *673  , 682  , 687  *0  *660  , 685  , *680  *680  , 682  ,2736
5º,Andrey Muniz de Castro (ARW2),GOIÁS/GO, 673  , 672  , 685  *672  , *672  , 676  ,,2706
6º,Rogério Ambrosio de Lima,SEP/SP, 673  , 673  , 683  , 674  ,,,2703
7º,Fabiano Ferreira Caiaffo,CARL ROGERS/PB, 681  , 666  674  , 661  ,, *653  ,,2682
8º,Jean Daniel Pegolo,BAND/SP,, 665  , *649  , 664  , 675  669  ,,2673
9º,Thiago Silva de Lima,CARL ROGERS/PB, 664  , 660  , 656  ,, 670  ,,2650
10º,Frederico Augusto Silva Santos Fogaça,GOIÁS/GO, 656  , *653  , 662  , 661  ,, 656  ,2635
11º,Antonio Sezar de Souza,TERRAL/SC,, 650  , 653  , 658  , 647  ,,2608
12º,Mateus Andrighetto Tamiozzo,BAND/SP, *632  , *632  , 638  , 660  647  , *630  654  ,,2599
13º,Marcelo Antonio Donizetti Pereira,CMSP/SP, 649  ,, 641  ,, 663  640  ,,2593
14º,Vilson Tonão,SEP/SP,, 642  , 648  , 653  , 645  *626  ,,2588
15º,Luiz Paulo do Amaral de Macedo,SEP/SP,, 645  ,, 636  , 664  635  ,,2580
16º,Alexandre M. C. Rossi,RODNEI/SP, *629  , 630  , 639  , 652  650  , *627  ,,2571
17º,José Claudio Lousada,PIC/MG,,,, 637  , 662  607  , 647  ,2553
18º,Marcos Antonio Fernandes,ÍTALO/ES,, 628  ,, 654  , 650  , 617  ,2549
19º,Rodnei Ramos,RODNEI/SP, 557  , 680  , *322  , 654  651  ,,,2542
20º,Julio Cesar de Oliveira (ARST),SEP/SP,, 622  , 642  , 644  , 624  ,,2532
21º,André Ki Sak Song,RODNEI/SP, 636  , 615  , 658  , 617  ,,,2526
22º,Marcos Paulo Rodrigues de Sousa (ARW2),ATICA/DF,, 577  , 626  , 596  , 582  ,,2381
23º,Rafael Neves Neto (ARW2),ÍTALO/ES,, 632  ,, 590  , 572  , 553  ,2347
24º,Helcio Luiz Jaime Gomes Perilo (ARW1),GOIÁS/GO, *538  , 585  , *529  550  , *526  , 556  , 555  ,2246
25º,Luciano Vaz Alvarenga,PIC/MG,,,, 678  , 670  , 660  ,2008
26º,Thiago Fernando Cerdeiro,YELLOW BALL/PR,,, 645  , 678  , 673  ,,1996
27º,Fábio César Tassinari,SEP/SP,, 650  , 678  ,, 664  ,,1992
28º,Dílio Procópio Dayrell Drummond de Alvarenga,PIC/MG, 655  ,,,, 668  , 667  ,1990
29º,Victor Sidi Neto,CMSP/SP,,, 662  , 668  , 654  ,,1984
30º,Alexandre Xavier de Oliveira,PIC/MG, 658  ,,, 671  , 647  ,,1976
31º,William Moraes Rego de Souza,CLUBE MUNICIPAL/RJ,, 653  , 651  ,,, 660  ,1964
32º,Jose Miguel Ale Rumi,CSP/SP,, 643  ,, 658  , 652  ,,1953
33º,Jardel André Findeis,ATABLU/SC,, 657  ,, 632  , 659  ,,1948
34º,Roberto Tadeu da Silva,FIELD/MS,,, 0  , 658  649  , 613  ,,1920
35º,Eduardo Alexandre Felix Villa Real,GOIÁS/GO, 652  ,,,, 640  , 627  ,1919
36º,Edson Kiyu Umisedo,ESPERIA/SP,, 633  ,, 631  , 651  ,,1915
37º,Frederico Alves Tavares,CSP/SP,, 598  , 0  662  611  ,,,,1871
38º,Vitor Horcaio Paciulli,BAND/SP,, 616  ,, 637  , 610  ,,1863
39º,Eugênio Santana Franco (ARW1),FCETARCO/CE,,,, 605  , 585  608  ,,1798
40º,Alair Jorge Da Rocha (ARW2),GOIÁS/GO,,,, 598  , 602  594  ,,1794
41º,Daniel Juvêncio do Nascimento,ÍTALO/ES,,,, 598  , 603  , 555  ,1756
42º,Franklin Medeiros de Menezes,CARL ROGERS/PB,, 535  , 614  ,, 568  ,,1717
43º,José Luiz Martinuzzo (ARW2),ÍTALO/ES,, 499  ,,, 575  , 585  ,1659
44º,Marcelo de Campos Roriz Júnior,GOIÁS/GO, 677  ,,, 690  ,,,1367
45º,Bruno Conrado Brassaroto,ALTA/PR, 670  ,,, 686  ,,,1356
46º,Hilton Marcos Weber da Silva,CLUBE MUNICIPAL/RJ,, 678  , 648  ,,,,1326
47º,André Luiz de Colo,YELLOW BALL/PR,,, 659  , 666  ,,,1325
48º,Dirceu Battisti Archer,TERRAL/SC,, 655  ,,, 664  ,,1319
49º,Christopher Curi,CMSP/SP,,,, 652  , 666  ,,1318
50º,Vitor Hugo Bortoloto,ACAMP/SP, 646  ,,, 671  ,,,1317
51º,João Ivison Carneiro Silva (ARW2),APDC-PE,,, 669  ,, 633  0  ,,1302
52º,Divaldo Rocha Sampaio,ECCO/PR,,, 658  , 641  ,,,1299
53º,Victor Caldeira Ceretti,RODNEI/SP,,, 646  ,, 652  ,,1298
54º,Luiz Henrique Adami de Ávila,CP PELOTAS/RS,, 646  ,,, 645  ,,1291
55º,Rodrigo Góes Ribeiro Cunha,EARE/RJ,,,,, 654  , 624  ,1278
56º,Marcus Vinicius Oliveira Silva,ATAI/SC,, 634  ,, 642  ,,,1276
57º,Carlos José Tôrres Galindo Filho,APCEF/AM,,,, 644  , 621  ,,1265
58º,Fabian dos Prazeres Cassilha,YELLOW BALL/PR,,, 616  ,, 645  ,,1261
59º,Eugênio Santana Franco* (ARW2),FCETARCO/CE,, 653  , 599  ,,,,1252
60º,Raphael Panegassi Milani,CMSP/SP,,, 628  ,, 623  ,,1251
61º,Júlio Francisco Rocha de Oliveira,CP PELOTAS/RS,, 652  ,,, 594  ,,1246
62º,Diego Alves Ferreira (ARST),CSP/MS,,,, 607  , 599  ,,1206
63º,Renato Achoa,RODNEI/SP,,, 582  , 611  ,,,1193
64º,João Antonio Fladt Queiroz,ESPERIA/SP,,,, 543  , 597  ,,1140
65º,Marcondes Rafael de Souza,CARL ROGERS/PB,, 559  , 553  ,,,,1112
66º,Alexandre Campalle,ESPERIA/SP,, 546  ,, 561  ,,,1107
67º,Marcelo Ruck,BAND/SP,,, 457  ,, 587  ,,1044
68º,Anderson Teixeira Kreischer,PORTUGUESA CARIOCA/RJ,,,,, 722  ,,722
69º,Oscar Rodrigues de Albuquerque,CSP-PE,,,, 684  ,,,684
70º,Alberes Jose Quintans e Freitas,CSP-PE,,,,, 671  ,,671
71º,Salvador Hidalgo Jorge,CSP/MS, 669  ,,,,,,669
72º,Manuel Mendonça Salazar da Silva,CSP-PE,,,,, 664  ,,664
73º,Matheus Ramos,RODNEI/SP, 663  ,,,,,,663
74º,Gustavo da Silva Paton Viola,ESPERIA/SP,, 661  ,,,,,661
75º,Henrique Junqueira Campos,GOIÁS/GO,,, 658  ,,,,658
76º,Rafael Kenji Kawakani,CSP/MS, 656  ,,,,,,656
77º,Otto Eberlin Rodrigues,RODNEI/SP,,,,, 622  ,,622
78º,Evando Ferreira Viana,ÍTALO/ES,, 620  ,,,,,620
79º,Altair Campos Ferreira,GOIÁS/GO, 605  ,,,,,,605
80º,Luciano Pinheiro Lins de Albuquerque,CSP-PE,,,,, 604  ,,604
81º,Edwin B. Montenegro Filho,CMSP/SP,,,,, 596  ,,596
82º,Fernando Silveira Kiepper,ÍTALO/ES,,,, 596  ,,,596
83º,Leandro Haruo Nakamura,ECCO/PR,,,, 595  ,,,595
84º,Fernando Tonissi,RODNEI/SP,, 589  ,,,,,589
85º,Luciano Barbosa da Silva,CSP-PE,,,,, 582  ,,582
86º,Luiz Carlos Riccardi Ferreira,BEST/SP,, 575  ,,,,,575
87º,Everton Mafeis Sampaio,DRAGOES/SP,,, 574  ,,,,574
88º,Marcel Moscarelli,CP PELOTAS/RS,, 572  ,,,,,572
89º,Luis Irapoan Jucá da Silva,ÍTALO/ES,,,,,, 564  ,564
90º,Sidney Akio Mayeda (ARW2),ESPERIA/SP,,,,, 551  ,,551
91º,Lauro Henrique Alves Martini,ARQUEIROS DA IRIS/RJ,,,,, 540  ,,540
92º,Arão Amaral Filho,ATICA/DF,, 320  ,,,,,320
93º,Rafael Kenji Kawakani,CSP/SP,,, 0  ,,,,0
