Lugar,Nome,CLUBE,JAN,FEV,MAR,ABR,MAI,JUN,TOTAL
1º,Bernardo de Sousa Oliveira,ATICA/DF, 650  , 661  , 661  , 665,, ,2637
2º,Daniel Rezende Xavier,PIC/MG, 659  , 643,, 653  , , 647  ,2602
3º,Gustavo Paulino dos Santos,FAS/AM,,651 , 649  , 648  , 652 ,,2600
4º,Edson Jin Su Kim,CMSP/SP,, 643  ,638  , 651, 646 ,,2578
5º,Lugui Barroso da Cruz,ARQUEIROS DA IRIS/RJ, 645 , 651  , 632,, 640 , ,2568
6º,Marcos Vinicius de Oliveira Porto,ARQUEIROS DA IRIS/RJ,634  , 633  , 636, 624  ,,,2527
7º,Marcos Antônio Bortoloto,ACAMP/SP, 622 , 635  ,, 624 ,623  ,,2504
8º,Luis Felipe de Aguilar Paulinyi,ATICA/DF, 616,622  ,, 617,635  ,,2490
9º,Higor Bruno Pascoal Cobesa,ACAMP/SP, 603,620  ,, 612,638.00,,2473
10º,Jardel Cruz Gomes,FAS/AM,,612 , 602, 617  , 615  ,,2446
11º,André Normando Bubenick,ATICA/DF, 606  , 602  , 599  , 617  ,, ,2424
12º,Moisés Ribeiro Guimarães,PIC/MG,,, 590 , 620  , 614  , 590  ,2414
13º,Guilherme Hideki Hayashi,YELLOW BALL/PR,630 ,619  , 500  ,, 598  ,,2347
14º,Joao Pio Sliachticas Caetano,ARQUEIROS DA IRIS/RJ,577  ,574  , 609,586  ,,,2346
15º,Dennis Delamare Fidalgo Arruda,BAND/SP,, 600  , 576  , 568  ,590  ,,2334
16º,Delano Brun,YELLOW BALL/PR,,, 595  , 569, 561 , 588 ,2313
17º,Francisco Macicledes Barbosa Cordeiro (ARW2),FAS/AM,,, 588  , 573  , 571  , 579  ,2311
18º,Marcos Antonio Charalabopoulos,BAND/SP,, 549  , 583  , , 602 ,571  ,2305
19º,Thyago Tonetto Pfeifer,GOIÁS/GO,,, 591  , 566  , 577  , 568  ,2302
20º,Luciano Reinaldo Rezende (ARST),ATICA/DF,, 555  , 581, 573  , 573  , ,2282
21º,Heriberto Roca (ARW2),ESPERIA/SP,, 581  , 579  , 548, 544  ,,2252
22º,Diogo Rodrigues de Sousa (ARST),ATICA/DF, 557  ,, 571  , 556  , 559  ,,2243
23º,Ricardo Antônio Henrique da Fonseca,PIC/MG, 548  ,,, 507  , 588  , 586  ,2229
24º,Ricardo Luiz Ferreira Pinto,ATICA/DF, 546  , 556  , 560  , 556  ,,,2218
25º,Hebert Fernandes Souto Silva,PIC/MG,,, 592  , 502, 530  , 536  ,2160
26º,Moacir Carlos Araújo Júnior,CARL ROGERS/PB, 528  ,542  , 499  ,, 559  ,,2128
27º,Luiz Felipe Dedone,BAND/SP,,, 543  , 506  , 527,519  ,2095
28º,João Juvêncio do Nascimento Neto,ÍTALO/ES,, 505  ,, 531  , 496  , 520  ,2052
29º,Julio Cezar Teixeira,PIC/MG, 487  ,,, 554  , 521,479  ,2041
30º,Marcus Vinicius Carvalho Lopes D´Almeida,ARQUEIROS DA IRIS/RJ,,,,668 , 659, 681  ,2008
31º,Marcondis Batista Nascimento (ARW2),ATICA/DF,, 474  ,, 489  , 525  , 460  ,1948
32º,Helio Lucio de Oliveira Junior,BAND/SP,, 519  , 525  , 399  , 479  ,,1922
33º,Adelci de Souza Neiva (ARW2),CETEFE/DF,, 415  , 480  , 506  ,, 474  ,1875
34º,Marcos Eugênio Vale Leão,PIC/MG,,,, 631  , 624  , 594  ,1849
35º,William Sobhie,BAND/SP,, 482  , 448  , 452  , 452,,1834
36º,Matheus Zwick Ely,TARS/RS,, 581  , 603, 610,,,1794
37º,Wagner Felipe Chaves,FCETARCO/CE,, 542  ,, 572  , 604  ,,1718
38º,Marcelo Carvalho Fernandes,ARQ.WOLFF/SC,, 552  ,, 591  , 569  ,,1712
39º,Arthur Depollo Ferreira,ÍTALO/ES,, 549  ,,, 607  , 535  ,1691
40º,Wellington Bravin Rezende,ÍTALO/ES,, 360  ,, 485  , 402  , 431  ,1678
41º,Adriano Pereira de Loiola,RODNEI/SP,,, 552  ,, 551 , 540 ,1643
42º,Vinicius Pereira dos Santos,CMSP/SP,, 525  , 575  ,, 525  ,,1625
43º,Jamil Nadaf de Melo,ARQ.WOLFF/SC,, 516  ,, 529  , 550  ,,1595
44º,Francisco B Costa Rasia,PR,,, 529  , 495  , 530  ,,1554
45º,Fisher Palladini Emidio Luiz,GOIÁS/GO,, 441  , 528  , 555  ,,,1524
46º,Ubaldo Silva de Souza,ÍTALO/ES,, 475  ,, 529  , 515  ,,1519
