,Número da Incrição,Notas
0,358.284-1,"62,50"
1,357.819-4,"75,50"
2,357.520-9,"54,50"
3,352.680-1,"57,00"
4,350.035-7,"54,00"
5,358.125-0,"71,00"
6,350.187-6,"64,50"
7,354.374-9,"61,00"
8,358.008-3,"63,50"
9,355.215-2,"63,00"
10,350.791-2,"70,50"
11,357.876-3,"71,50"
12,359.370-3,"50,00"
13,354.032-4,"51,50"
14,353.501-0,"63,50"
15,350.150-7,"56,00"
16,353.956-3,"84,50"
17,355.007-9,"53,00"
18,352.294-6,"68,00"
19,358.751-7,"50,00"
20,355.705-7,"54,00"
21,356.116-0,"56,00"
22,355.252-7,"51,50"
23,357.601-9,"66,00"
24,352.818-9,"87,50"
25,355.277-2,"55,00"
26,357.403-2,"53,50"
27,357.305-2,"64,50"
28,359.236-7,"52,50"
29,357.420-2,"55,00"
30,352.395-0,"58,00"
31,356.333-2,"55,50"
32,358.757-6,"59,50"
33,357.315-0,"55,50"
34,357.029-0,"71,00"
35,350.497-2,"69,50"
36,351.640-7,"53,50"
37,356.274-3,"58,50"
38,352.745-0,"60,00"
39,358.542-5,"62,00"
40,354.761-2,"57,00"
41,356.109-7,"57,50"
42,357.972-7,"54,50"
43,300.022-2,"64,50"
44,350.347-0,"61,00"
45,358.584-0,"81,00"
46,359.383-5,"72,50"
47,358.829-7,"56,00"
48,354.335-8,"51,00"
49,352.365-9,"65,50"
50,359.042-9,"55,50"
51,357.343-5,"73,50"
52,357.944-1,"70,50"
53,350.849-8,"53,50"
54,352.373-0,"52,00"
55,351.807-8,"50,50"
56,355.769-3,"60,00"
57,350.568-5,"50,50"
58,354.001-4,"69,00"
59,354.867-8,"64,00"
60,358.258-2,"56,50"
61,357.987-5,"61,00"
62,355.110-5,"53,50"
63,357.775-9,"54,50"
64,352.727-1,"56,00"
65,355.693-0,"50,50"
66,354.609-8,"50,50"
67,357.764-3,"52,50"
68,352.405-1,"55,00"
69,358.601-4,"54,50"
70,301.322-7,"50,50"
71,358.912-9,"52,50"
72,351.598-2,"64,00"
73,353.064-7,"56,00"
74,353.655-6,"63,00"
75,353.126-0,"54,00"
76,358.048-2,"50,00"
77,351.207-0,"56,50"
78,358.243-4,"53,00"
79,354.813-9,"56,50"
80,359.017-8,"72,50"
81,357.023-1,"57,50"
82,357.494-6,"61,50"
83,355.587-9,"69,50"
84,353.728-5,"51,50"
85,357.998-0,"65,00"
86,354.510-5,"62,00"
87,354.843-0,"50,00"
88,354.003-0,"55,00"
89,357.803-8,"68,00"
90,357.064-9,"67,00"
91,354.328-5,"65,00"
92,357.120-3,"59,00"
93,354.179-7,"52,50"
94,358.660-0,"53,00"
95,358.366-0,"76,00"
96,355.387-6,"51,50"
97,353.359-0,"75,50"
98,359.044-5,"53,00"
99,300.791-0,"55,00"
100,352.705-0,"55,00"
101,356.979-9,"71,50"
102,357.214-5,"57,00"
103,353.519-3,"63,00"
104,356.663-3,"60,50"
105,357.808-9,"52,00"
106,355.887-8,"75,00"
107,355.302-7,"66,00"
108,355.011-7,"52,50"
109,354.997-6,"58,00"
110,353.386-7,"65,00"
111,353.814-1,"54,50"
112,354.019-7,"67,50"
113,351.581-8,"71,00"
114,356.415-0,"72,00"
115,350.309-7,"54,50"
116,355.187-3,"62,50"
117,354.397-8,"59,00"
118,352.445-0,"73,50"
119,355.895-9,"50,00"
120,358.091-1,"69,00"
121,358.425-9,"50,50"
122,354.024-3,"57,00"
123,355.257-8,"53,50"
124,357.479-2,"52,00"
125,350.522-7,"68,00"
126,357.417-2,"52,50"
127,358.841-6,"53,50"
128,357.371-0,"56,50"
129,351.465-0,"65,00"
130,300.130-0,"67,50"
131,356.582-3,"53,00"
132,350.297-0,"60,50"
133,357.077-0,"67,50"
134,355.993-9,"57,00"
135,353.682-3,"52,00"
136,354.868-6,"54,00"
137,354.336-6,"60,50"
138,353.196-1,"56,00"
139,358.111-0,"52,50"
140,357.720-1,"51,50"
141,354.412-5,"66,00"
142,359.015-1,"54,00"
143,358.539-5,"66,00"
144,351.799-3,"59,00"
145,358.858-0,"55,50"
146,354.282-3,"53,50"
147,354.084-7,"51,00"
148,354.639-0,"64,50"
149,351.353-0,"50,50"
150,356.255-7,"50,50"
151,353.469-3,"56,50"
152,352.361-6,"59,00"
153,353.424-3,"68,50"
154,357.245-5,"62,00"
155,357.641-8,"57,50"
156,354.215-7,"57,50"
157,353.824-9,"52,00"
158,355.101-6,"55,00"
159,356.814-8,"77,50"
160,300.533-0,"53,00"
161,354.055-3,"63,50"
162,351.397-1,"70,50"
163,356.490-8,"67,50"
164,351.589-3,"58,50"
165,352.126-5,"64,50"
166,350.369-0,"54,00"
167,356.918-7,"54,00"
168,354.399-4,"60,50"
169,300.612-3,"51,00"
170,352.832-4,"70,50"
171,356.514-9,"60,00"
172,357.438-5,"56,50"
173,354.176-2,"51,00"
174,357.429-6,"64,50"
175,357.598-5,"53,50"
176,353.759-5,"54,00"
177,354.930-5,"58,00"
178,352.613-5,"55,00"
179,351.676-8,"73,00"
180,351.529-0,"59,00"
181,350.910-9,"51,50"
182,358.684-7,"52,50"
183,357.806-2,"62,50"
184,352.334-9,"50,00"
185,353.886-9,"53,50"
186,353.019-1,"73,00"
187,351.856-6,"62,50"
188,356.435-5,"59,50"
189,350.018-7,"60,00"
190,357.606-0,"63,00"
191,356.353-7,"61,50"
192,356.541-6,"52,00"
193,356.053-8,"50,50"
194,358.582-4,"50,00"
195,357.516-0,"50,50"
196,357.829-1,"52,50"
197,350.682-7,"64,50"
198,357.106-8,"65,50"
199,357.473-3,"54,50"
200,355.057-5,"54,00"
201,300.424-4,"65,50"
202,351.663-6,"54,00"
203,358.465-8,"53,50"
204,356.635-8,"50,50"
205,351.081-6,"51,00"
206,352.028-5,"52,50"
207,355.619-0,"76,50"
208,356.638-2,"56,50"
209,356.367-7,"50,50"
210,353.740-4,"55,00"
211,357.202-1,"58,50"
212,351.771-3,"55,50"
213,357.504-7,"67,00"
214,350.713-0,"61,00"
215,355.963-7,"50,50"
216,357.311-7,"61,50"
217,351.809-4,"50,00"
218,357.557-8,"57,00"
219,354.065-0,"57,00"
220,357.495-4,"61,50"
221,358.143-8,"50,50"
222,358.426-7,"54,00"
223,357.491-1,"65,50"
224,357.753-8,"71,50"
225,353.928-8,"54,50"
226,350.777-7,"75,50"
227,353.895-8,"67,50"
228,355.594-1,"67,00"
229,357.565-9,"53,00"
230,352.885-5,"64,50"
231,355.369-8,"52,00"
232,350.413-1,"52,50"
233,358.341-4,"54,50"
234,358.581-6,"52,50"
235,355.579-8,"50,00"
236,352.013-7,"56,50"
237,354.765-5,"66,00"
238,354.750-7,"53,50"
239,351.575-3,"73,00"
240,355.543-7,"74,50"
241,354.914-3,"81,00"
242,354.605-5,"55,00"
243,351.447-1,"50,00"
244,355.681-6,"59,00"
245,355.225-0,"52,50"
246,351.219-3,"58,00"
247,357.586-1,"52,00"
248,357.458-0,"53,00"
249,352.254-7,"71,50"
250,355.645-0,"77,00"
251,353.315-8,"50,00"
252,359.127-1,"55,50"
253,354.586-5,"59,00"
254,356.653-6,"50,00"
255,352.311-0,"57,50"
256,354.265-3,"52,00"
257,358.050-4,"52,50"
258,355.822-3,"50,50"
259,358.271-0,"58,00"
260,354.438-9,"50,50"
261,351.348-3,"72,00"
262,300.855-0,"66,00"
263,359.380-0,"55,50"
264,350.220-1,"51,50"
265,355.201-2,"63,50"
266,351.725-0,"54,50"
267,350.006-3,"55,00"
268,355.439-2,"70,00"
269,357.075-4,"55,00"
270,355.807-0,"54,50"
271,352.654-2,"51,00"
272,358.312-0,"54,50"
273,354.466-4,"60,00"
274,353.570-3,"54,00"
275,358.385-6,"52,00"
276,355.328-0,"62,50"
277,352.072-2,"82,00"
278,354.913-5,"65,00"
279,357.422-9,"54,50"
280,354.172-0,"52,00"
281,353.763-3,"52,50"
282,353.414-6,"74,50"
283,355.229-2,"65,50"
284,351.784-5,"55,50"
285,357.980-8,"60,00"
286,354.375-7,"54,50"
287,350.454-9,"77,00"
288,351.308-4,"65,50"
289,357.430-0,"63,00"
290,352.315-2,"61,00"
291,300.038-9,"58,00"
292,358.110-1,"52,50"
293,359.146-8,"53,50"
294,356.949-7,"50,00"
295,357.087-8,"56,00"
296,355.402-3,"51,50"
297,356.266-2,"57,50"
298,355.511-9,"56,50"
299,354.043-0,"66,00"
300,351.831-0,"50,50"
301,351.852-3,"75,50"
302,353.131-7,"59,00"
303,351.287-8,"50,50"
304,353.204-6,"59,00"
305,357.279-0,"71,50"
306,356.645-5,"50,00"
307,356.178-0,"55,00"
308,350.643-6,"54,50"
309,356.023-6,"57,00"
310,358.691-0,"64,00"
311,356.078-3,"75,50"
312,350.119-1,"51,00"
313,356.271-9,"64,50"
314,358.575-1,"52,00"
315,358.976-5,"56,50"
316,352.935-5,"83,00"
