,Número da Incrição,Notas
598,351.966-0,"89,00"
24,352.818-9,"87,50"
599,300.425-2,"86,00"
469,356.759-1,"85,50"
16,353.956-3,"84,50"
749,353.102-3,"83,50"
320,351.079-4,"83,50"
439,352.241-5,"83,50"
316,352.935-5,"83,00"
669,356.452-5,"82,50"
594,358.553-0,"82,50"
408,351.698-9,"82,50"
277,352.072-2,"82,00"
759,355.052-4,"82,00"
417,353.413-8,"81,50"
241,354.914-3,"81,00"
565,357.065-7,"81,00"
45,358.584-0,"81,00"
465,350.050-0,"80,50"
374,357.009-6,"80,50"
493,358.742-8,"80,50"
400,357.536-5,"80,00"
531,351.988-0,"80,00"
825,353.944-0,"79,50"
751,353.039-6,"79,00"
801,357.185-8,"78,00"
733,353.030-2,"78,00"
494,353.008-6,"78,00"
831,352.376-4,"78,00"
159,356.814-8,"77,50"
250,355.645-0,"77,00"
287,350.454-9,"77,00"
413,353.491-0,"77,00"
554,352.017-0,"76,50"
340,352.337-3,"76,50"
207,355.619-0,"76,50"
334,352.657-7,"76,50"
95,358.366-0,"76,00"
356,352.269-5,"76,00"
311,356.078-3,"75,50"
97,353.359-0,"75,50"
301,351.852-3,"75,50"
226,350.777-7,"75,50"
1,357.819-4,"75,50"
842,,"75,50"
823,353.268-2,"75,50"
106,355.887-8,"75,00"
643,355.583-6,"75,00"
282,353.414-6,"74,50"
578,355.938-6,"74,50"
655,351.355-6,"74,50"
240,355.543-7,"74,50"
538,354.919-4,"74,50"
362,352.429-9,"74,00"
647,354.440-0,"73,50"
700,357.502-0,"73,50"
615,354.849-0,"73,50"
118,352.445-0,"73,50"
51,357.343-5,"73,50"
591,353.169-4,"73,50"
398,356.809-1,"73,50"
429,356.161-5,"73,00"
593,350.391-7,"73,00"
186,353.019-1,"73,00"
239,351.575-3,"73,00"
179,351.676-8,"73,00"
566,300.420-1,"72,50"
80,359.017-8,"72,50"
46,359.383-5,"72,50"
644,354.494-0,"72,50"
564,355.477-5,"72,50"
361,352.910-0,"72,50"
828,358.955-2,"72,50"
261,351.348-3,"72,00"
508,356.727-3,"72,00"
729,353.835-4,"72,00"
795,357.441-5,"72,00"
114,356.415-0,"72,00"
101,356.979-9,"71,50"
328,351.506-0,"71,50"
305,357.279-0,"71,50"
249,352.254-7,"71,50"
11,357.876-3,"71,50"
709,354.062-6,"71,50"
224,357.753-8,"71,50"
355,353.511-8,"71,50"
832,354.364-1,"71,50"
523,354.411-7,"71,50"
475,350.998-2,"71,50"
5,358.125-0,"71,00"
113,351.581-8,"71,00"
392,354.435-4,"71,00"
780,356.141-0,"71,00"
460,357.810-0,"71,00"
723,352.174-5,"71,00"
562,353.076-0,"71,00"
34,357.029-0,"71,00"
10,350.791-2,"70,50"
162,351.397-1,"70,50"
170,352.832-4,"70,50"
52,357.944-1,"70,50"
686,352.274-1,"70,50"
738,355.026-5,"70,00"
268,355.439-2,"70,00"
706,354.858-9,"70,00"
650,357.673-6,"70,00"
338,351.740-3,"70,00"
560,351.552-4,"69,50"
35,350.497-2,"69,50"
814,353.583-5,"69,50"
83,355.587-9,"69,50"
318,353.286-0,"69,50"
446,354.465-6,"69,50"
58,354.001-4,"69,00"
731,352.949-5,"69,00"
347,351.527-3,"69,00"
739,358.295-7,"69,00"
120,358.091-1,"69,00"
153,353.424-3,"68,50"
481,356.735-4,"68,50"
383,357.861-5,"68,50"
89,357.803-8,"68,00"
488,352.207-5,"68,00"
548,351.020-4,"68,00"
125,350.522-7,"68,00"
18,352.294-6,"68,00"
571,354.528-8,"68,00"
770,356.707-9,"68,00"
734,355.029-0,"67,50"
227,353.895-8,"67,50"
133,357.077-0,"67,50"
405,352.283-0,"67,50"
637,351.271-1,"67,50"
130,300.130-0,"67,50"
504,350.343-7,"67,50"
741,357.224-2,"67,50"
163,356.490-8,"67,50"
112,354.019-7,"67,50"
546,353.238-0,"67,50"
638,356.085-6,"67,00"
228,355.594-1,"67,00"
757,358.394-5,"67,00"
90,357.064-9,"67,00"
213,357.504-7,"67,00"
449,355.123-7,"66,50"
570,301.131-3,"66,50"
542,351.478-1,"66,50"
370,354.895-3,"66,00"
23,357.601-9,"66,00"
394,357.309-5,"66,00"
143,358.539-5,"66,00"
747,352.815-4,"66,00"
107,355.302-7,"66,00"
237,354.765-5,"66,00"
262,300.855-0,"66,00"
679,351.572-9,"66,00"
619,350.569-3,"66,00"
299,354.043-0,"66,00"
141,354.412-5,"66,00"
585,350.689-4,"66,00"
322,357.798-8,"66,00"
568,353.157-0,"66,00"
535,357.410-5,"66,00"
524,350.576-6,"66,00"
407,354.015-4,"65,50"
288,351.308-4,"65,50"
283,355.229-2,"65,50"
223,357.491-1,"65,50"
201,300.424-4,"65,50"
198,357.106-8,"65,50"
693,355.023-0,"65,50"
510,355.080-0,"65,50"
49,352.365-9,"65,50"
495,358.985-4,"65,50"
375,352.572-4,"65,00"
278,354.913-5,"65,00"
559,355.107-5,"65,00"
129,351.465-0,"65,00"
762,354.443-5,"65,00"
91,354.328-5,"65,00"
85,357.998-0,"65,00"
687,355.522-4,"65,00"
678,352.678-0,"65,00"
628,357.539-0,"65,00"
662,356.833-4,"65,00"
110,353.386-7,"65,00"
43,300.022-2,"64,50"
148,354.639-0,"64,50"
313,356.271-9,"64,50"
6,350.187-6,"64,50"
515,352.113-3,"64,50"
197,350.682-7,"64,50"
625,354.114-2,"64,50"
552,355.365-5,"64,50"
230,352.885-5,"64,50"
771,356.743-5,"64,50"
27,357.305-2,"64,50"
165,352.126-5,"64,50"
426,350.955-9,"64,50"
174,357.429-6,"64,50"
636,300.491-0,"64,00"
680,350.976-1,"64,00"
607,355.041-9,"64,00"
59,354.867-8,"64,00"
837,352.840-5,"64,00"
718,356.480-0,"64,00"
310,358.691-0,"64,00"
72,351.598-2,"64,00"
577,350.426-3,"64,00"
804,359.251-0,"64,00"
457,351.955-4,"64,00"
401,354.490-7,"64,00"
435,353.022-1,"64,00"
492,357.030-4,"63,50"
265,355.201-2,"63,50"
161,354.055-3,"63,50"
518,352.256-3,"63,50"
359,358.805-0,"63,50"
521,355.616-6,"63,50"
14,353.501-0,"63,50"
331,355.204-7,"63,50"
8,358.008-3,"63,50"
595,353.571-1,"63,50"
727,357.505-5,"63,00"
190,357.606-0,"63,00"
476,352.236-9,"63,00"
660,354.747-7,"63,00"
402,352.348-9,"63,00"
74,353.655-6,"63,00"
103,353.519-3,"63,00"
631,350.737-8,"63,00"
763,355.472-4,"63,00"
348,353.489-8,"63,00"
289,357.430-0,"63,00"
9,355.215-2,"63,00"
833,354.442-7,"62,50"
276,355.328-0,"62,50"
824,354.955-0,"62,50"
384,358.306-6,"62,50"
605,355.537-2,"62,50"
544,357.433-4,"62,50"
818,357.137-8,"62,50"
0,358.284-1,"62,50"
187,351.856-6,"62,50"
116,355.187-3,"62,50"
183,357.806-2,"62,50"
343,353.427-8,"62,00"
86,354.510-5,"62,00"
722,352.744-1,"62,00"
498,358.227-2,"62,00"
39,358.542-5,"62,00"
748,357.758-9,"62,00"
154,357.245-5,"62,00"
754,351.828-0,"62,00"
440,350.649-5,"62,00"
526,352.162-1,"62,00"
809,356.319-7,"62,00"
420,353.006-0,"62,00"
694,357.425-3,"62,00"
688,352.413-2,"62,00"
379,354.748-5,"62,00"
325,358.445-3,"62,00"
220,357.495-4,"61,50"
512,355.632-8,"61,50"
549,352.167-2,"61,50"
191,356.353-7,"61,50"
